station,year,status,file_path,file_size_bytes,row_count,column_count,duplicate_rows
Sonia_Vihar,2025,available,data\raw\CPCB\Sonia_Vihar\2025\2025_hourly.csv,1245752,8760,25,0
Sri_Aurobindo_Marg,2022,available,data\raw\CPCB\Sri_Aurobindo_Marg\2022\2022_hourly.csv,1258296,8760,25,0
Sri_Aurobindo_Marg,2023,available,data\raw\CPCB\Sri_Aurobindo_Marg\2023\2023_hourly.csv,1295469,8760,25,0
Sri_Aurobindo_Marg,2024,available,data\raw\CPCB\Sri_Aurobindo_Marg\2024\2024_hourly.csv,1088946,8784,25,0
Sri_Aurobindo_Marg,2025,available,data\raw\CPCB\Sri_Aurobindo_Marg\2025\2025_hourly.csv,1243911,8760,25,0
Talkatora_Garden,2022,MISSING_CSV,,0,0,0,0
Talkatora_Garden,2023,MISSING_CSV,,0,0,0,0
Talkatora_Garden,2024,MISSING_CSV,,0,0,0,0
Talkatora_Garden,2025,available,data\raw\CPCB\Talkatora_Garden\2025\2025_hourly.csv,823773,8760,25,0
Vivek_Vihar,2022,available,data\raw\CPCB\Vivek_Vihar\2022\2022_hourly.csv,1245520,8760,25,0
Vivek_Vihar,2023,available,data\raw\CPCB\Vivek_Vihar\2023\2023_hourly.csv,1269142,8760,25,0
Vivek_Vihar,2024,available,data\raw\CPCB\Vivek_Vihar\2024\2024_hourly.csv,1100410,8784,25,0
Vivek_Vihar,2025,available,data\raw\CPCB\Vivek_Vihar\2025\2025_hourly.csv,1256776,8760,25,0
Wazirpur,2022,available,data\raw\CPCB\Wazirpur\2022\2022_hourly.csv,1247730,8760,25,0
Wazirpur,2023,available,data\raw\CPCB\Wazirpur\2023\2023_hourly.csv,1238979,8760,25,0
Wazirpur,2024,available,data\raw\CPCB\Wazirpur\2024\2024_hourly.csv,1087746,8784,25,0
Wazirpur,2025,available,data\raw\CPCB\Wazirpur\2025\2025_hourly.csv,1267752,8760,25,0
