station,year,month,pm25,lag_sentinel2_ndvi_mean_500m,time_holdout_year,y_prediction,t_prediction,y_residual,t_residual,orthogonal_score,treatment
Bawana,2024,12,218.27,0.1455359826309819,2024,188.93576811372623,0.2433448475304176,29.334231886273784,-0.09780886489943569,-2.869147923493271,sentinel2_ndvi_mean_500m
Bawana,2025,1,199.48,0.204788994775749,2025,192.1424028517167,0.19711796859477343,7.337597148283294,0.007671026180975565,0.0562868998299328,sentinel2_ndvi_mean_500m
Bawana,2025,2,123.94,0.2409047411633812,2025,130.13650095704264,0.14607207026355543,-6.196500957042645,0.09483267089982578,-0.5876307359896806,sentinel2_ndvi_mean_500m
Bawana,2025,5,79.29,0.2229762387651229,2025,74.05736416173002,0.23324699400464932,5.232635838269985,-0.010270755239526419,-0.05374312195244516,sentinel2_ndvi_mean_500m
Bawana,2025,6,58.55,0.2258308834964432,2025,50.17333058411345,0.23023925962482072,8.376669415886546,-0.0044083761283775225,-0.03692750948830434,sentinel2_ndvi_mean_500m
Bawana,2025,7,32.88,0.2386383690863384,2025,35.23181368474332,0.2530060835959507,-2.3518136847433198,-0.014367714509612328,0.03379018760219143,sentinel2_ndvi_mean_500m
Bawana,2025,8,38.36,0.1723541768822978,2025,32.901139338113104,0.2598849157751153,5.458860661886895,-0.08753073889281751,-0.4778181072478948,sentinel2_ndvi_mean_500m
Bawana,2025,9,48.78,0.2858273287578038,2025,35.437341180649646,0.29075119855899845,13.342658819350355,-0.004923869801194636,-0.06569751482824249,sentinel2_ndvi_mean_500m
Bawana,2025,10,145.37,0.3153014816557915,2025,138.63009937296593,0.32118719250337185,6.739900627034075,-0.005885710847580328,-0.03966910623214791,sentinel2_ndvi_mean_500m
Burari_Crossing,2023,1,158.45,0.2301468698470807,2023,107.52443945301664,0.24600905313689872,50.92556054698335,-0.015862183289818033,-0.8077905755329757,sentinel2_ndvi_mean_500m
Burari_Crossing,2023,2,108.88,0.1701052522607564,2023,136.70389129548693,0.2904577924047881,-27.82389129548693,-0.12035254014403168,3.3486759941032647,sentinel2_ndvi_mean_500m
Burari_Crossing,2023,3,68.33,0.2525622329206103,2023,149.40660212711944,0.2637063441862049,-81.07660212711944,-0.011144111265594614,0.9035266751409641,sentinel2_ndvi_mean_500m
Burari_Crossing,2023,4,71.08,0.2449041696352911,2023,117.40026176006992,0.25104525049745957,-46.320261760069926,-0.006141080862168469,0.2844564730253994,sentinel2_ndvi_mean_500m
