station,year,month,pm25,sentinel2_ndvi_mean_1000m,fold,y_hat_oof,t_hat_oof,y_residual,t_residual,orthogonal_score
Bawana,2024,2,123.78,0.275579179999613,3,105.03772511382938,0.261579856808917,18.74227488617062,0.013999323190696022,0.26653011524625303
Bawana,2024,3,103.35,0.277904775427649,3,81.38138896587958,0.2891241192580425,21.968611034120414,-0.011219343830393469,-0.2438073492274694
Bawana,2024,4,93.35,0.1775767655006331,3,75.79194784793471,0.22541639447525183,17.558052152065287,-0.04783962897461874,-0.791496660698985
Bawana,2024,5,109.17,0.1818992544248823,3,116.17019858408467,0.21507449483935778,-7.000198584084671,-0.033175240414475476,0.2555443172722524
Bawana,2024,6,67.34,0.1941560031266366,3,61.709988439640526,0.21284120089702208,5.630011560359478,-0.018685197770385464,-0.09780303561649585
Bawana,2024,7,42.37,0.2623631417391111,3,40.56801099488693,0.27560654371458193,1.8019890051130645,-0.013243401975470803,-0.020149687886697475
Bawana,2024,8,33.28,0.3470165792447189,3,26.59576212982922,0.3844517172015995,6.684237870170779,-0.03743513795688058,-0.2205434129783314
Bawana,2024,9,52.26,0.3108894374809523,3,35.19424477303643,0.38260202489118617,17.065755226963567,-0.07171258741023384,-1.114905259702374
Bawana,2024,10,141.36,0.2660605948898082,3,112.26579862967547,0.36703136796858,29.09420137032454,-0.10097077307877178,-2.721728044284833
Bawana,2024,11,306.53,0.1385865803041073,3,255.37934847773093,0.2206391403758269,51.150651522269044,-0.0820525600717196,-4.05444244677302
Bawana,2024,12,218.27,0.2058179424525505,3,136.02308475972134,0.25396500002068884,82.24691524027867,-0.048147057568138335,-3.9108479103660088
Bawana,2025,1,199.48,0.287986782675608,3,136.917796900481,0.2901729649178447,62.562203099518996,-0.0021861822422367116,-0.13667114812801123
Bawana,2025,2,123.94,0.2750739177431341,3,105.4081513280494,0.2844638247225541,18.5318486719506,-0.009389906979419993,-0.1721448541978791
Bawana,2025,4,107.47,0.2012730765328169,3,86.95992737399489,0.2527229203891742,20.510072626005112,-0.051449843856357313,-0.9991737554010459
Bawana,2025,5,79.29,0.1987411610792576,3,78.68091263236427,0.2793721141674626,0.6090873676357376,-0.080630953088205,0.08858973732540787
Bawana,2025,6,58.55,0.2187424462075149,3,51.956251521220736,0.290609594340656,6.593748478779261,-0.07186714813314107,-0.36447966459705283
Bawana,2025,7,32.88,0.2242030430572865,3,29.624471851143618,0.2970354555030393,3.255528148856385,-0.07283241244575278,-0.12475540169489763
Bawana,2025,8,38.36,0.2845286815889954,3,29.346165808796354,0.3054823200799379,9.013834191203646,-0.020953638490942506,-0.1795732749996482
Bawana,2025,9,48.78,0.3055942879746617,3,34.89609126976759,0.36060504215681266,13.883908730232413,-0.055010754182150956,-0.6996686031610699
Bawana,2025,10,145.37,0.2823468980615765,3,111.30083778359962,0.33880792529000286,34.069162216400386,-0.056461027228426386,-1.8560600935887814
