station,year,month,split,period,lag_sentinel2_ndvi_mean_1000m,lag_sentinel2_ndvi_mean_500m,lag_modis_ndvi_mean_1000m
Jahangirpuri,2025,10,train,2025-10-01,0.2987209173544827,0.2870902081652451,0.3379523087025645
Jahangirpuri,2025,11,train,2025-11-01,0.2659451096562188,0.2434078181070033,0.3247639317066428
Jahangirpuri,2025,12,train,2025-12-01,0.2318741026345057,0.2007923925889673,0.2756059134582153
Jawaharlal_Nehru_Stadium,2022,1,train,2022-01-01,,,
Jawaharlal_Nehru_Stadium,2022,2,train,2022-02-01,0.3522149873929446,0.3555996878087348,0.3329026281163434
Jawaharlal_Nehru_Stadium,2022,3,train,2022-03-01,0.317459668184793,0.3262339603956526,0.2878857998614957
Jawaharlal_Nehru_Stadium,2022,4,train,2022-04-01,0.287376559715355,0.3146375084990787,0.3086915581717452
Jawaharlal_Nehru_Stadium,2022,5,train,2022-05-01,0.3086988885849741,0.317805664999088,0.3299126537458069
Jawaharlal_Nehru_Stadium,2022,6,train,2022-06-01,0.2913670988113906,0.2900234768943059,0.2801351247600768
Jawaharlal_Nehru_Stadium,2022,7,train,2022-07-01,0.3213498643560154,0.3337585065167572,0.4252596190476191
Jawaharlal_Nehru_Stadium,2022,8,train,2022-08-01,0.3038607310103671,0.3195403076542972,0.3999
Jawaharlal_Nehru_Stadium,2022,9,train,2022-09-01,0.3561648769110924,0.3697828897997222,0.419179852320675
Jawaharlal_Nehru_Stadium,2022,10,train,2022-10-01,0.2444158821456647,0.2744195355670849,0.4782087889066241
Jawaharlal_Nehru_Stadium,2022,12,train,2022-12-01,,,
Jawaharlal_Nehru_Stadium,2023,2,train,2023-02-01,,,
Jawaharlal_Nehru_Stadium,2023,3,train,2023-03-01,0.2963358338743245,0.3015320007492531,0.3177376835180055
Jawaharlal_Nehru_Stadium,2023,4,train,2023-04-01,0.2980020170219145,0.3102416561261474,0.2877241910251134
Jawaharlal_Nehru_Stadium,2023,5,train,2023-05-01,0.2957524981685861,0.2994529842089622,0.3445800519390581
Jawaharlal_Nehru_Stadium,2023,7,train,2023-07-01,,,
Jawaharlal_Nehru_Stadium,2023,9,train,2023-09-01,,,
Jawaharlal_Nehru_Stadium,2023,10,train,2023-10-01,0.3735506371896763,0.3899038542989099,0.3872760907202217
Jawaharlal_Nehru_Stadium,2023,11,train,2023-11-01,0.3617930447294923,0.3684686412698863,0.3697266588373458
Jawaharlal_Nehru_Stadium,2023,12,train,2023-12-01,0.2239194212743754,0.2324147079641497,0.362837575735455
Jawaharlal_Nehru_Stadium,2024,1,train,2024-01-01,0.2765944920159226,0.2891796494427173,0.3237864231301938
Jawaharlal_Nehru_Stadium,2024,2,train,2024-02-01,0.1818738919846824,0.1942306174866583,0.2460630832735103
Jawaharlal_Nehru_Stadium,2024,5,train,2024-05-01,,,
Jawaharlal_Nehru_Stadium,2024,7,train,2024-07-01,,,
Jawaharlal_Nehru_Stadium,2024,8,train,2024-08-01,0.1569982601421732,0.1736207064283706,0.3453
Jawaharlal_Nehru_Stadium,2024,9,train,2024-09-01,0.3301381352605098,0.3550727076424256,0.4082015429196132
Jawaharlal_Nehru_Stadium,2024,10,train,2024-10-01,0.2875156498757692,0.2816142523126066,0.3960082513850415
Jawaharlal_Nehru_Stadium,2024,11,train,2024-11-01,0.3687312067062498,0.3706667028539535,0.3130530840986332
Jawaharlal_Nehru_Stadium,2024,12,train,2024-12-01,0.2234954207103942,0.2350651253357688,0.2711095368647802
Jawaharlal_Nehru_Stadium,2025,2,train,2025-02-01,,,
Jawaharlal_Nehru_Stadium,2025,4,train,2025-04-01,,,
Jawaharlal_Nehru_Stadium,2025,5,train,2025-05-01,0.285292532543147,0.281602276512192,0.2642723235001658
Jawaharlal_Nehru_Stadium,2025,6,train,2025-06-01,0.3151579037579448,0.3171368467995406,0.3831405055125498
Jawaharlal_Nehru_Stadium,2025,7,train,2025-07-01,0.3050504976303946,0.3149839705277781,0.3800430392156863
Jawaharlal_Nehru_Stadium,2025,8,train,2025-08-01,0.2464749196379515,0.2856254480706171,0.3310763816981719
Jawaharlal_Nehru_Stadium,2025,9,train,2025-09-01,0.2535173493440284,0.2854976350620023,0.4306156472261734
Jawaharlal_Nehru_Stadium,2025,11,train,2025-11-01,,,
Jawaharlal_Nehru_Stadium,2025,12,train,2025-12-01,0.3006352410547951,0.3137023342458836,0.2945502825895478
Major_Dhyan_Chand_National_Stadium,2022,1,train,2022-01-01,,,
Major_Dhyan_Chand_National_Stadium,2022,2,train,2022-02-01,0.4326198726985903,0.4368061561507992,0.4345806143628062
Major_Dhyan_Chand_National_Stadium,2022,3,train,2022-03-01,0.4045711570221182,0.4146926405761458,0.3897781582952817
Major_Dhyan_Chand_National_Stadium,2022,4,train,2022-04-01,0.3529193610196108,0.3525939239011681,0.4359151861076517
Major_Dhyan_Chand_National_Stadium,2022,5,train,2022-05-01,0.377321760620776,0.3757575230991549,0.3664084016082536
Major_Dhyan_Chand_National_Stadium,2022,7,train,2022-07-01,,,
Major_Dhyan_Chand_National_Stadium,2022,8,train,2022-08-01,0.4023134681806338,0.383095386881608,0.4712
Major_Dhyan_Chand_National_Stadium,2022,12,train,2022-12-01,,,
Major_Dhyan_Chand_National_Stadium,2023,1,train,2023-01-01,0.3317063888642644,0.3208635850497984,0.3825459422997095
Major_Dhyan_Chand_National_Stadium,2023,2,train,2023-02-01,0.2944579147327051,0.2732086571902536,0.3961329977860799
Major_Dhyan_Chand_National_Stadium,2023,5,train,2023-05-01,,,
Major_Dhyan_Chand_National_Stadium,2023,6,train,2023-06-01,0.400665511400267,0.3951230654744007,0.4724435796319359
Major_Dhyan_Chand_National_Stadium,2023,7,train,2023-07-01,0.4205421784580893,0.417793620228243,0.4615160545248012
Major_Dhyan_Chand_National_Stadium,2023,8,train,2023-08-01,0.3366594488553112,0.3266086410133576,0.5321910332836564
Major_Dhyan_Chand_National_Stadium,2023,9,train,2023-09-01,0.4359503563582507,0.4233313875464321,0.4868441158156913
Major_Dhyan_Chand_National_Stadium,2023,10,train,2023-10-01,0.434132157762691,0.4166432121678358,0.4798203127162033
Major_Dhyan_Chand_National_Stadium,2023,11,train,2023-11-01,0.4068023354035256,0.3973719682321944,0.4981690189566902
Major_Dhyan_Chand_National_Stadium,2023,12,train,2023-12-01,0.3200281828206165,0.3241822408914808,0.4580796146395464
Major_Dhyan_Chand_National_Stadium,2024,1,train,2024-01-01,0.3783704198222443,0.3569351917164613,0.3936006745537571
Major_Dhyan_Chand_National_Stadium,2024,2,train,2024-02-01,0.2212819756639509,0.2107701092907671,0.3727085624123422
