station,year,month,worldpop_density_250m,worldpop_density_500m,worldpop_density_1000m
Punjabi_Bagh,2025,9,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2025,10,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2025,11,26359.84630519116,25332.58016318977,24336.471270832953
Punjabi_Bagh,2025,12,26359.84630519116,25332.58016318977,24336.471270832953
R_K_Puram,2022,1,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2022,2,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2022,3,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2022,4,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2022,5,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2022,6,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2022,7,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2022,8,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2022,9,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2022,10,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2022,11,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2022,12,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,1,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,2,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,3,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,4,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,5,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,6,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,7,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,8,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,9,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,10,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,11,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2023,12,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,1,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,2,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,3,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,4,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,5,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,6,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,7,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,8,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,9,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,10,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,11,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2024,12,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,1,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,2,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,3,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,4,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,5,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,6,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,7,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,8,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,9,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,10,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,11,10127.734222566109,9666.55174160625,8660.213932063354
R_K_Puram,2025,12,10127.734222566109,9666.55174160625,8660.213932063354
Rohini,2022,1,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2022,2,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2022,3,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2022,4,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2022,5,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2022,6,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2022,7,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2022,8,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2022,9,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2022,10,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2022,11,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2022,12,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,1,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,2,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,3,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,4,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,5,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,6,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,7,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,8,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,9,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,10,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,11,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2023,12,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,1,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,2,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,3,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,4,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,5,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,6,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,7,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,8,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,9,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,10,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,11,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2024,12,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2025,1,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2025,2,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2025,3,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2025,4,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2025,5,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2025,6,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2025,7,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2025,8,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2025,9,17077.66689256199,18197.373726415535,18768.892079536614
Rohini,2025,10,17077.66689256199,18197.373726415535,18768.892079536614
