country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","04-08-2026 05:00:00",21.185571,81.343175,NO2,15,16,15
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","04-08-2026 05:00:00",21.185571,81.343175,NH3,1,2,1
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","04-08-2026 05:00:00",21.185571,81.343175,CO,19,28,23
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","04-08-2026 05:00:00",21.194815,81.31477,NO2,3,7,5
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","04-08-2026 05:00:00",21.224231,81.40835,NO2,6,19,11
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","04-08-2026 05:00:00",21.224231,81.40835,NH3,4,8,6
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","04-08-2026 05:00:00",21.224231,81.40835,OZONE,10,16,13
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","04-08-2026 05:00:00",22.08815,82.13737,PM10,27,61,43
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","04-08-2026 05:00:00",22.348441,82.549611,CO,17,55,36
India,Bihar,Patna,"Muradpur, Patna - BSPCB","04-08-2026 05:00:00",25.619651,85.147382,OZONE,4,21,10
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","04-08-2026 05:00:00",25.592539,85.227158,NO2,5,7,6
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","04-08-2026 05:00:00",25.366336,87.117468,PM2.5,15,45,31
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","04-08-2026 05:00:00",25.892357,86.590325,PM2.5,33,207,48
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","04-08-2026 05:00:00",25.892357,86.590325,PM10,28,104,53
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","04-08-2026 05:00:00",25.859655,85.77944,OZONE,6,7,6
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","04-08-2026 05:00:00",24.952822,84.002396,PM2.5,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","04-08-2026 05:00:00",24.952822,84.002396,PM10,NA,NA,NA
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","04-08-2026 05:00:00",26.2271665,84.3570427,NO2,2,2,2
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","04-08-2026 05:00:00",26.2271665,84.3570427,NH3,1,1,1
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","04-08-2026 05:00:00",26.2271665,84.3570427,SO2,1,3,2
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","04-08-2026 05:00:00",28.699793,77.165453,PM10,58,219,145
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","04-08-2026 05:00:00",28.570173,76.933762,PM10,16,93,54
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","04-08-2026 05:00:00",28.570173,76.933762,NH3,6,16,10
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","04-08-2026 05:00:00",28.570173,76.933762,OZONE,11,12,12
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","04-08-2026 05:00:00",28.58028,77.233829,PM10,23,90,54
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","04-08-2026 05:00:00",28.623763,77.287209,PM10,27,79,59
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","04-08-2026 05:00:00",28.623763,77.287209,NH3,2,12,7
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","04-08-2026 05:00:00",28.623763,77.287209,OZONE,1,6,3
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","04-08-2026 05:00:00",28.56789,77.250515,OZONE,3,11,6
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","04-08-2026 05:00:00",28.531346,77.190156,PM10,19,108,68
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","04-08-2026 05:00:00",28.531346,77.190156,NO2,11,27,18
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","04-08-2026 05:00:00",28.6811736,77.3025234,NH3,6,7,6
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","04-08-2026 05:00:00",28.563262,77.186937,OZONE,11,30,18
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","04-08-2026 05:00:00",28.498571,77.26484,SO2,5,12,7
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","04-08-2026 05:00:00",28.498571,77.26484,CO,13,30,25
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","04-08-2026 05:00:00",28.5710274,77.0719006,PM2.5,2,55,27
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","04-08-2026 05:00:00",28.5710274,77.0719006,PM10,22,189,106
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","04-08-2026 05:00:00",28.5710274,77.0719006,CO,23,47,36
India,Delhi,Delhi,"DTU, Delhi - CPCB","04-08-2026 05:00:00",28.7500499,77.1112615,PM2.5,15,77,45
India,Delhi,Delhi,"DTU, Delhi - CPCB","04-08-2026 05:00:00",28.7500499,77.1112615,NH3,6,14,11
India,Delhi,Delhi,"DTU, Delhi - CPCB","04-08-2026 05:00:00",28.7500499,77.1112615,SO2,29,33,31
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","04-08-2026 05:00:00",28.647622,77.315809,NH3,3,15,7
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","04-08-2026 05:00:00",28.695381,77.181665,PM2.5,21,77,53
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","04-08-2026 05:00:00",28.493624,77.201159,CO,35,43,40
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","04-08-2026 05:00:00",28.493624,77.201159,OZONE,6,7,7
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","04-08-2026 05:00:00",28.615828,77.271992,NH3,0,0,0
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","04-08-2026 05:00:00",28.615828,77.271992,OZONE,15,31,20
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","04-08-2026 05:00:00",28.62181,77.1944633,CO,39,47,43
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","04-08-2026 05:00:00",28.62181,77.1944633,OZONE,6,9,8
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","04-08-2026 05:00:00",28.4706914,77.1099364,NO2,0,26,11
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM","04-08-2026 05:00:00",28.4706914,77.1099364,NH3,NA,NA,NA
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","04-08-2026 05:00:00",28.7256504,77.2011573,NO2,2,23,10
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM","04-08-2026 05:00:00",28.7256504,77.2011573,CO,24,119,47
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM","04-08-2026 05:00:00",28.5918245,77.2273074,PM2.5,0,69,39
India,Delhi,Delhi,"Pusa, Delhi - DPCC","04-08-2026 05:00:00",28.639652,77.146275,PM10,14,118,64
India,Delhi,Delhi,"Pusa, Delhi - DPCC","04-08-2026 05:00:00",28.639652,77.146275,NO2,13,50,27
India,Delhi,Delhi,"Pusa, Delhi - DPCC","04-08-2026 05:00:00",28.639652,77.146275,SO2,3,9,6
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","04-08-2026 05:00:00",28.5504249,77.2159377,PM10,28,139,87
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","04-08-2026 05:00:00",28.656756,77.227234,PM10,51,108,77
India,Delhi,Delhi,"Pusa, Delhi - IITM","04-08-2026 05:00:00",28.63611,77.173332,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Pusa, Delhi - IITM","04-08-2026 05:00:00",28.63611,77.173332,CO,17,32,26
India,Delhi,Delhi,"Pusa, Delhi - IITM","04-08-2026 05:00:00",28.63611,77.173332,OZONE,4,20,10
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","04-08-2026 05:00:00",28.5627763,77.1180053,PM10,23,113,67
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","04-08-2026 05:00:00",28.5627763,77.1180053,NO2,14,51,27
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","04-08-2026 05:00:00",28.5627763,77.1180053,CO,30,50,39
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","04-08-2026 05:00:00",21.258815,81.578979,OZONE,15,23,18
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","04-08-2026 05:00:00",22.06631475,83.33820077,CO,13,51,28
