station,year,month,pm25
DTU,2025,5,55.55
DTU,2025,6,41.91
DTU,2025,7,23.02
DTU,2025,8,26.51
DTU,2025,9,21.35
DTU,2025,10,59.39
DTU,2025,11,197.11
DTU,2025,12,248.23
Dr._Karni_Singh_Shooting_Range,2022,1,162.5
Dr._Karni_Singh_Shooting_Range,2022,2,96.24
Dr._Karni_Singh_Shooting_Range,2022,3,82.64
Dr._Karni_Singh_Shooting_Range,2022,4,84.39
Dr._Karni_Singh_Shooting_Range,2022,5,70.35
Dr._Karni_Singh_Shooting_Range,2022,6,48.36
Dr._Karni_Singh_Shooting_Range,2022,7,28.2
Dr._Karni_Singh_Shooting_Range,2022,8,25.61
Dr._Karni_Singh_Shooting_Range,2022,9,33.21
Dr._Karni_Singh_Shooting_Range,2022,10,94.47
Dr._Karni_Singh_Shooting_Range,2022,11,173.4
Dr._Karni_Singh_Shooting_Range,2022,12,174.05
Dr._Karni_Singh_Shooting_Range,2023,1,184.56
Dr._Karni_Singh_Shooting_Range,2023,2,106.42
Dr._Karni_Singh_Shooting_Range,2023,3,67.95
Dr._Karni_Singh_Shooting_Range,2023,4,57.1
Dr._Karni_Singh_Shooting_Range,2023,5,55.54
Dr._Karni_Singh_Shooting_Range,2023,6,35.74
Dr._Karni_Singh_Shooting_Range,2023,7,32.57
Dr._Karni_Singh_Shooting_Range,2023,8,32.28
Dr._Karni_Singh_Shooting_Range,2023,9,36.47
Dr._Karni_Singh_Shooting_Range,2023,10,93.72
Dr._Karni_Singh_Shooting_Range,2023,11,248.31
Dr._Karni_Singh_Shooting_Range,2023,12,203.39
Dr._Karni_Singh_Shooting_Range,2024,1,223.2
Dr._Karni_Singh_Shooting_Range,2024,2,104.25
Dr._Karni_Singh_Shooting_Range,2024,3,67.26
Dr._Karni_Singh_Shooting_Range,2024,4,56.27
Dr._Karni_Singh_Shooting_Range,2024,5,81.18
Dr._Karni_Singh_Shooting_Range,2024,6,51.54
Dr._Karni_Singh_Shooting_Range,2024,7,42.02
Dr._Karni_Singh_Shooting_Range,2024,8,26.59
Dr._Karni_Singh_Shooting_Range,2024,9,41.36
Dr._Karni_Singh_Shooting_Range,2024,10,107.81
Dr._Karni_Singh_Shooting_Range,2024,11,244.7
Dr._Karni_Singh_Shooting_Range,2024,12,174.58
Dr._Karni_Singh_Shooting_Range,2025,1,164.63
Dr._Karni_Singh_Shooting_Range,2025,2,94.81
Dr._Karni_Singh_Shooting_Range,2025,3,62.72
Dr._Karni_Singh_Shooting_Range,2025,4,66.53
Dr._Karni_Singh_Shooting_Range,2025,5,57.18
Dr._Karni_Singh_Shooting_Range,2025,6,39.99
Dr._Karni_Singh_Shooting_Range,2025,7,22.27
Dr._Karni_Singh_Shooting_Range,2025,8,29.36
Dr._Karni_Singh_Shooting_Range,2025,9,31.75
Dr._Karni_Singh_Shooting_Range,2025,10,101.61
